log ID,log date,log title,field name,experiment ID,owner,category,revision date,equipment,rate,volume,area,time,length,count,weight,None type,material
acac735d-6efa-4247-8d61-ad0c5123d5f3,2020-05-08T11:45:40+00:00,expt 2020/R/WW/2042 located in 2020/R/WW/2042,,2020/R/WW/2042,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
0b362a3e-7d05-49a2-8004-2a4919815429,2020-05-08T11:46:07+00:00,expt 2020/R/WW/2045 located in 2020/R/WW/2045,,2020/R/WW/2045,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
a6cd1e76-6031-4b38-9ef8-2c116b46b534,2020-05-08T11:47:20+00:00,expt 2020/R/WW/2017 located in 2020/R/WW/2017,,2020/R/WW/2017,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
9c8d8a18-466b-4d6f-988d-6e00a6468305,2020-05-08T11:57:26+00:00,expt 2018/R/CM/1862 located in 2018/R/CM/1862,,2018/R/CM/1862,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
1e5e2e93-dd66-433f-a6a5-5a8b8776e602,2020-05-08T11:57:53+00:00,expt 2019/R/CM/1960 located in 2019/R/CM/1960,,2019/R/CM/1960,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
6f46ac8d-570a-4e3b-b4dc-57716e897941,2020-05-08T11:58:16+00:00,expt 2019/R/CM/1973 located in 2019/R/CM/1973,,2019/R/CM/1973,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
6fcc163f-6b8a-46f9-89f4-18deed8b5243,2020-05-08T12:09:14+00:00,expt 2019/R/WS/1965 located in 2019/R/WS/1965,,2019/R/WS/1965,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
4e886bb0-a3de-4608-b60c-fd3457872168,2020-05-11T06:04:48+00:00,expt 2020/R/WW/2015 located in 2020/R/WW/2015,,2020/R/WW/2015,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
8961f3ee-1b56-4466-943e-a3dd90cfab59,2020-05-11T06:06:36+00:00,expt 2020/R/WW/2016 located in 2020/R/WW/2016,,2020/R/WW/2016,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
8a82b8de-65b5-4960-93df-ad1d3bd0f219,2020-05-11T06:07:00+00:00,expt 2020/R/WW/2018 located in 2020/R/WW/2018,,2020/R/WW/2018,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
