log ID,log date,log title,field name,experiment ID,owner,category,revision date,equipment,rate,volume,area,time,length,count,weight,None type,material
1532f840-8800-4910-b267-79f65d3832fe,2020-08-11T23:00:00+00:00,Commercial Crop,BLACKHORSE,,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,10580 kg,,
cf0916f4-7e02-47f9-a544-773d53eb138b,2020-08-09T23:00:00+00:00,Harvested all plots,,2020/R/WW/2015,"Martin Gardner, Christoph Russell",Harvesting,2022-06-30T07:32:54+00:00,Haldrup C-65 1.5m cut,,,,,,18 rows,,,
43c18d15-b83a-46da-b764-35de1e46e0d2,2020-08-10T23:00:00+00:00,Harvested all plots,,2020/R/WW/2015,"Martin Gardner, Christoph Russell",Harvesting,2022-06-30T07:32:54+00:00,Haldrup C-65 1.5m cut,,,,,,18 rows,,,
a20120f6-73f2-4c73-90ba-1172d55d99b8,2020-08-23T23:00:00+00:00,Straw Weights,,2020/R/CS/778,"Martin Gardner, Christoph Russell, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"Tym T503, New Holland Baler",,,,80 min,,24 plots,,,
8530c2e1-59e5-430e-909d-eb951c2dc804,2020-08-23T23:00:00+00:00,Straw Weights,,2020/R/CS/760,"Martin Gardner, Christoph Russell, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"New Holland Baler, Tym T503",,,,80 min,,24 plots,,,
bbef9cbe-0ac7-4d3c-9c3d-7a6b1c68f48f,2020-08-23T23:00:00+00:00,Straw Weights,,2020/R/CS/789,"Martin Gardner, Christoph Russell, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"New Holland Baler, Tym T503",,,,80 min,,24 plots,,,
b88089b8-15b7-45e6-ba6b-69f3029745be,2020-08-23T23:00:00+00:00,Straw Weights,,2020/R/CS/773,"Martin Gardner, Christoph Russell, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"New Holland Baler, Tym T503",,,,80 min,,24 plots,,,
7bffb162-e111-4f4f-857a-09b019453ab9,2020-08-21T23:00:00+00:00,Commercial Crop,"BYLANDS, MEADOW",,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,1310 kg,,
23c88802-e393-410d-beb4-58de668e5e54,2020-08-22T23:00:00+00:00,Commercial Crop,"BYLANDS, MEADOW",,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,14650 kg,,
c2bf3768-6a9d-43be-bca9-815381d99b1e,2020-08-21T23:00:00+00:00,Commercial Crop,BLACKHORSE,,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,65590 kg,,
41c5e6d3-f872-4c39-a9ec-faa27ee83493,2020-08-21T23:00:00+00:00,Commercial Crop,OSIER,,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,21630 kg,,
575a78f7-db98-4aa8-ba91-ea7e4d76b69b,2020-08-22T23:00:00+00:00,Commercial Crop,OSIER,,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,1790 kg,,
d3a86e45-769c-4aea-a3f4-ad4aaad25e99,2020-08-22T23:00:00+00:00,Commercial Crop,SCOUT,,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,15330 kg,,
db44cec3-1b26-4f09-86dc-fbe3f9a14404,2020-08-23T23:00:00+00:00,Commercial Crop,HIGHFIELD 4,,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,18220 kg,,
8fa77f88-98f7-41a2-9dcf-35932a40635f,2020-08-23T23:00:00+00:00,Commercial Crop,HIGHFIELD 5/6,,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,26290 kg,,
36c6aa54-7f9a-4fa4-9713-53ced92dd12a,2020-08-23T23:00:00+00:00,Commercial Crop,RRES LSRE Site 2020,,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,4450 kg,,
7aaa5c21-e524-4703-93ef-7274503960c8,2020-08-23T23:00:00+00:00,Commercial Crop,WHITEHORSE 2,,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,12050 kg,,
e1da9444-23a2-4ed3-aba0-e4d6fbbcbf1d,2020-08-23T19:30:00+00:00,Harvested all plots,,2020/R/WW/2045,Chris Mackay,Harvesting,2022-03-22T15:44:49+00:00,Haldrup C-85 2m cut,,,,,,,,,
9e8c8fc4-aead-4ccc-b39e-4aac9eb4801a,2020-08-23T16:50:00+00:00,Harvested all plots,,2020/R/WW/2026,Chris Mackay,Harvesting,2022-03-22T15:44:49+00:00,Haldrup C-85 2m cut,,,,,,,,,
8f652a2c-b446-4c57-b871-8e106362a928,2020-08-11T14:30:00+00:00,Harvested WW/2035 plots,,2020/R/WW/2035+2046,Chris Mackay,Harvesting,2022-03-22T15:44:49+00:00,Haldrup C-85 2m cut,,,,,,,,,
c0508559-2361-4b1d-baa1-704035d5a960,2020-08-23T12:50:00+00:00,Harvested WW/2046 plots,,2020/R/WW/2035+2046,Chris Mackay,Harvesting,2022-03-22T15:44:49+00:00,Haldrup C-85 2m cut,,,,,,,,,
ffad50aa-a2aa-4c42-918a-7474c13c2d83,2020-08-22T11:10:00+00:00,Harvested all plots,,2020/R/WW/2014,Chris Mackay,Harvesting,2022-03-22T15:44:49+00:00,Haldrup C-85 2m cut,,,,,,,,,
be5c640c-c1ce-400a-941b-90dbf31c94ef,2020-08-04T23:00:00+00:00,Harvested all plots,,2020/R/WW/2031+2034,"Martin Gardner, Christoph Russell",Harvesting,2022-06-30T07:32:54+00:00,Haldrup C-65 1.5m cut,,,,,,216 plots,,,
b514d85f-b321-4aef-923f-ab3e862f92df,2020-08-05T23:00:00+00:00,Harvested all plots,,2020/R/WW/2031+2034,"Martin Gardner, Christoph Russell",Harvesting,2022-06-30T07:32:54+00:00,Haldrup C-65 1.5m cut,,,,,,160 plots,,,
dd3f2b27-5ed6-415c-99e0-fa33fd0e4b69,2020-08-06T23:00:00+00:00,Harvested all plots,,2020/R/WW/2031+2034,"Martin Gardner, Christoph Russell",Harvesting,2022-06-30T07:32:54+00:00,Haldrup C-65 1.5m cut,,,,,,392 plots,,,
a289cdba-93cf-461f-bb69-598602169cd4,2020-08-07T23:00:00+00:00,Harvested all plots,,2020/R/WW/2031+2034,"Martin Gardner, Christoph Russell",Harvesting,2022-06-30T07:32:54+00:00,Haldrup C-65 1.5m cut,,,,,,222 plots,,,
ea6eedaf-4c6e-4801-b212-fac16f3c1846,2020-08-09T23:00:00+00:00,Harvested all plots,,2020/R/WW/2031+2034,"Martin Gardner, Christoph Russell",Harvesting,2022-06-30T07:32:54+00:00,Haldrup C-65 1.5m cut,,,,,,108 plots,,,
